spk_id,wav,labels,WavPath,label,fold
f3323,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f3323_0_sneeze.wav,/m/01hsr_,f3323_0_sneeze.wav,Sneeze,5
m1250,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m1250_0_sniff.wav,/m/07ppn3j,m1250_0_sniff.wav,Sniff,5
f1941,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f1941_1_sigh.wav,/m/07plz5l,f1941_1_sigh.wav,Sigh,1
f2354,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f2354_0_sigh.wav,/m/07plz5l,f2354_0_sigh.wav,Sigh,4
m1382,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m1382_0_throatclearing.wav,/m/0dl9sf8,m1382_0_throatclearing.wav,Throat clearing,1
m1641,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m1641_0_sneeze.wav,/m/01hsr_,m1641_0_sneeze.wav,Sneeze,1
f1023,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f1023_0_sigh.wav,/m/07plz5l,f1023_0_sigh.wav,Sigh,2
m0154,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m0154_0_sigh.wav,/m/07plz5l,m0154_0_sigh.wav,Sigh,3
f1934,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f1934_0_cough.wav,/m/01b_21,f1934_0_cough.wav,Cough,1
m1351,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m1351_0_cough.wav,/m/01b_21,m1351_0_cough.wav,Cough,4
f2183,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f2183_0_sigh.wav,/m/07plz5l,f2183_0_sigh.wav,Sigh,3
f0607,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f0607_2_sniff.wav,/m/07ppn3j,f0607_2_sniff.wav,Sniff,4
f1108,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f1108_0_sneeze.wav,/m/01hsr_,f1108_0_sneeze.wav,Sneeze,3
f2592,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f2592_0_cough.wav,/m/01b_21,f2592_0_cough.wav,Cough,1
f2376,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f2376_0_sneeze.wav,/m/01hsr_,f2376_0_sneeze.wav,Sneeze,5
f3249,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f3249_0_sneeze.wav,/m/01hsr_,f3249_0_sneeze.wav,Sneeze,1
f2799,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f2799_0_sigh.wav,/m/07plz5l,f2799_0_sigh.wav,Sigh,4
f1216,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f1216_0_sneeze.wav,/m/01hsr_,f1216_0_sneeze.wav,Sneeze,5
f0208,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f0208_0_laughter.wav,/m/01j3sz,f0208_0_laughter.wav,Laughter,2
f1964,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f1964_0_sigh.wav,/m/07plz5l,f1964_0_sigh.wav,Sigh,1
f1606,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f1606_0_cough.wav,/m/01b_21,f1606_0_cough.wav,Cough,4
f0471,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f0471_0_sigh.wav,/m/07plz5l,f0471_0_sigh.wav,Sigh,2
f0866,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f0866_0_cough.wav,/m/01b_21,f0866_0_cough.wav,Cough,1
f1934,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f1934_0_sneeze.wav,/m/01hsr_,f1934_0_sneeze.wav,Sneeze,5
f1515,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f1515_0_sneeze.wav,/m/01hsr_,f1515_0_sneeze.wav,Sneeze,1
m3197,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m3197_0_cough.wav,/m/01b_21,m3197_0_cough.wav,Cough,1
m0861,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m0861_0_sniff.wav,/m/07ppn3j,m0861_0_sniff.wav,Sniff,2
m0801,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m0801_0_cough.wav,/m/01b_21,m0801_0_cough.wav,Cough,1
m3209,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m3209_0_laughter.wav,/m/01j3sz,m3209_0_laughter.wav,Laughter,2
m1575,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m1575_0_sigh.wav,/m/07plz5l,m1575_0_sigh.wav,Sigh,5
f1957,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f1957_1_sigh.wav,/m/07plz5l,f1957_1_sigh.wav,Sigh,1
m3250,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m3250_0_sneeze.wav,/m/01hsr_,m3250_0_sneeze.wav,Sneeze,4
f0968,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f0968_0_sniff.wav,/m/07ppn3j,f0968_0_sniff.wav,Sniff,1
m1906,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m1906_0_throatclearing.wav,/m/0dl9sf8,m1906_0_throatclearing.wav,Throat clearing,3
f1994,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f1994_0_sigh.wav,/m/07plz5l,f1994_0_sigh.wav,Sigh,2
f2043,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f2043_0_throatclearing.wav,/m/0dl9sf8,f2043_0_throatclearing.wav,Throat clearing,5
f0592,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f0592_0_throatclearing.wav,/m/0dl9sf8,f0592_0_throatclearing.wav,Throat clearing,5
f1305,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f1305_0_sneeze.wav,/m/01hsr_,f1305_0_sneeze.wav,Sneeze,3
m2345,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m2345_0_sneeze.wav,/m/01hsr_,m2345_0_sneeze.wav,Sneeze,1
m2345,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m2345_0_throatclearing.wav,/m/0dl9sf8,m2345_0_throatclearing.wav,Throat clearing,2
m1835,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m1835_0_sigh.wav,/m/07plz5l,m1835_0_sigh.wav,Sigh,5
f0942,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f0942_0_sigh.wav,/m/07plz5l,f0942_0_sigh.wav,Sigh,2
m0731,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m0731_0_sniff.wav,/m/07ppn3j,m0731_0_sniff.wav,Sniff,2
f1349,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f1349_1_sniff.wav,/m/07ppn3j,f1349_1_sniff.wav,Sniff,2
f2388,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f2388_0_sigh.wav,/m/07plz5l,f2388_0_sigh.wav,Sigh,1
f1334,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f1334_0_sniff.wav,/m/07ppn3j,f1334_0_sniff.wav,Sniff,1
f0585,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f0585_1_laughter.wav,/m/01j3sz,f0585_1_laughter.wav,Laughter,2
m0431,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m0431_0_laughter.wav,/m/01j3sz,m0431_0_laughter.wav,Laughter,5
m1029,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m1029_0_cough.wav,/m/01b_21,m1029_0_cough.wav,Cough,5
f3143,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f3143_0_sigh.wav,/m/07plz5l,f3143_0_sigh.wav,Sigh,2
m1049,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m1049_0_sniff.wav,/m/07ppn3j,m1049_0_sniff.wav,Sniff,2
f0739,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f0739_0_cough.wav,/m/01b_21,f0739_0_cough.wav,Cough,5
f1299,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f1299_0_throatclearing.wav,/m/0dl9sf8,f1299_0_throatclearing.wav,Throat clearing,5
f3220,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f3220_0_throatclearing.wav,/m/0dl9sf8,f3220_0_throatclearing.wav,Throat clearing,1
m2047,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m2047_0_sigh.wav,/m/07plz5l,m2047_0_sigh.wav,Sigh,2
m2499,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m2499_0_sneeze.wav,/m/01hsr_,m2499_0_sneeze.wav,Sneeze,2
f1964,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f1964_2_sniff.wav,/m/07ppn3j,f1964_2_sniff.wav,Sniff,4
f0510,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f0510_0_throatclearing.wav,/m/0dl9sf8,f0510_0_throatclearing.wav,Throat clearing,2
m3337,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m3337_0_cough.wav,/m/01b_21,m3337_0_cough.wav,Cough,2
m1330,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m1330_0_sigh.wav,/m/07plz5l,m1330_0_sigh.wav,Sigh,1
m1049,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m1049_0_laughter.wav,/m/01j3sz,m1049_0_laughter.wav,Laughter,1
f0756,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f0756_0_sniff.wav,/m/07ppn3j,f0756_0_sniff.wav,Sniff,5
m1164,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m1164_0_sigh.wav,/m/07plz5l,m1164_0_sigh.wav,Sigh,5
f0638,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f0638_0_sniff.wav,/m/07ppn3j,f0638_0_sniff.wav,Sniff,2
m2634,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m2634_0_cough.wav,/m/01b_21,m2634_0_cough.wav,Cough,1
m0595,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m0595_0_throatclearing.wav,/m/0dl9sf8,m0595_0_throatclearing.wav,Throat clearing,5
m2733,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m2733_1_sneeze.wav,/m/01hsr_,m2733_1_sneeze.wav,Sneeze,1
m1823,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m1823_0_sigh.wav,/m/07plz5l,m1823_0_sigh.wav,Sigh,3
f0177,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f0177_0_sneeze.wav,/m/01hsr_,f0177_0_sneeze.wav,Sneeze,5
m0787,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m0787_0_sniff.wav,/m/07ppn3j,m0787_0_sniff.wav,Sniff,4
f1199,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f1199_0_cough.wav,/m/01b_21,f1199_0_cough.wav,Cough,2
m1168,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m1168_0_sneeze.wav,/m/01hsr_,m1168_0_sneeze.wav,Sneeze,2
m1988,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m1988_0_cough.wav,/m/01b_21,m1988_0_cough.wav,Cough,2
f3155,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f3155_0_sigh.wav,/m/07plz5l,f3155_0_sigh.wav,Sigh,2
m1575,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m1575_0_sneeze.wav,/m/01hsr_,m1575_0_sneeze.wav,Sneeze,3
f1702,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f1702_0_throatclearing.wav,/m/0dl9sf8,f1702_0_throatclearing.wav,Throat clearing,5
m0169,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m0169_0_laughter.wav,/m/01j3sz,m0169_0_laughter.wav,Laughter,3
f1470,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f1470_0_sniff.wav,/m/07ppn3j,f1470_0_sniff.wav,Sniff,4
f2118,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f2118_0_cough.wav,/m/01b_21,f2118_0_cough.wav,Cough,1
m2499,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m2499_0_sniff.wav,/m/07ppn3j,m2499_0_sniff.wav,Sniff,1
f3126,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f3126_0_sigh.wav,/m/07plz5l,f3126_0_sigh.wav,Sigh,5
f2592,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f2592_0_sigh.wav,/m/07plz5l,f2592_0_sigh.wav,Sigh,2
m1417,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m1417_0_sniff.wav,/m/07ppn3j,m1417_0_sniff.wav,Sniff,3
m1976,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m1976_0_laughter.wav,/m/01j3sz,m1976_0_laughter.wav,Laughter,4
f3222,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f3222_0_laughter.wav,/m/01j3sz,f3222_0_laughter.wav,Laughter,1
m1579,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m1579_0_sniff.wav,/m/07ppn3j,m1579_0_sniff.wav,Sniff,4
f1385,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f1385_0_throatclearing.wav,/m/0dl9sf8,f1385_0_throatclearing.wav,Throat clearing,2
f2784,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f2784_0_cough.wav,/m/01b_21,f2784_0_cough.wav,Cough,1
m1968,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m1968_0_laughter.wav,/m/01j3sz,m1968_0_laughter.wav,Laughter,2
f2745,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f2745_0_sigh.wav,/m/07plz5l,f2745_0_sigh.wav,Sigh,4
m0803,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m0803_0_sniff.wav,/m/07ppn3j,m0803_0_sniff.wav,Sniff,4
m2808,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m2808_0_sniff.wav,/m/07ppn3j,m2808_0_sniff.wav,Sniff,2
f0101,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f0101_0_laughter.wav,/m/01j3sz,f0101_0_laughter.wav,Laughter,3
m2682,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m2682_0_cough.wav,/m/01b_21,m2682_0_cough.wav,Cough,4
f2712,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f2712_0_sneeze.wav,/m/01hsr_,f2712_0_sneeze.wav,Sneeze,1
m2547,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m2547_0_throatclearing.wav,/m/0dl9sf8,m2547_0_throatclearing.wav,Throat clearing,4
f1620,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f1620_0_sneeze.wav,/m/01hsr_,f1620_0_sneeze.wav,Sneeze,5
m2390,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m2390_0_sigh.wav,/m/07plz5l,m2390_0_sigh.wav,Sigh,3
f0607,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f0607_3_sniff.wav,/m/07ppn3j,f0607_3_sniff.wav,Sniff,1
f0401,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f0401_0_sneeze.wav,/m/01hsr_,f0401_0_sneeze.wav,Sneeze,2
f1160,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f1160_0_throatclearing.wav,/m/0dl9sf8,f1160_0_throatclearing.wav,Throat clearing,5
m0434,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m0434_0_sniff.wav,/m/07ppn3j,m0434_0_sniff.wav,Sniff,4
m2147,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m2147_0_sigh.wav,/m/07plz5l,m2147_0_sigh.wav,Sigh,1
m0222,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m0222_0_sneeze.wav,/m/01hsr_,m0222_0_sneeze.wav,Sneeze,5
m0640,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m0640_0_sniff.wav,/m/07ppn3j,m0640_0_sniff.wav,Sniff,3
m2153,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m2153_0_throatclearing.wav,/m/0dl9sf8,m2153_0_throatclearing.wav,Throat clearing,5
m3342,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m3342_0_sneeze.wav,/m/01hsr_,m3342_0_sneeze.wav,Sneeze,3
f1964,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f1964_1_throatclearing.wav,/m/0dl9sf8,f1964_1_throatclearing.wav,Throat clearing,5
f3264,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f3264_0_sigh.wav,/m/07plz5l,f3264_0_sigh.wav,Sigh,2
m2754,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m2754_0_laughter.wav,/m/01j3sz,m2754_0_laughter.wav,Laughter,2
m2024,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m2024_0_throatclearing.wav,/m/0dl9sf8,m2024_0_throatclearing.wav,Throat clearing,5
f2043,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f2043_0_sneeze.wav,/m/01hsr_,f2043_0_sneeze.wav,Sneeze,5
m2759,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m2759_0_sneeze.wav,/m/01hsr_,m2759_0_sneeze.wav,Sneeze,5
f1719,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f1719_0_sneeze.wav,/m/01hsr_,f1719_0_sneeze.wav,Sneeze,1
m1906,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m1906_0_sneeze.wav,/m/01hsr_,m1906_0_sneeze.wav,Sneeze,2
m2041,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m2041_0_laughter.wav,/m/01j3sz,m2041_0_laughter.wav,Laughter,5
m2447,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m2447_0_sneeze.wav,/m/01hsr_,m2447_0_sneeze.wav,Sneeze,2
f0585,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f0585_0_laughter.wav,/m/01j3sz,f0585_0_laughter.wav,Laughter,3
f1401,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f1401_0_laughter.wav,/m/01j3sz,f1401_0_laughter.wav,Laughter,4
f0706,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f0706_0_throatclearing.wav,/m/0dl9sf8,f0706_0_throatclearing.wav,Throat clearing,4
m0420,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m0420_0_sigh.wav,/m/07plz5l,m0420_0_sigh.wav,Sigh,2
f1878,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f1878_0_laughter.wav,/m/01j3sz,f1878_0_laughter.wav,Laughter,3
f2643,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f2643_0_cough.wav,/m/01b_21,f2643_0_cough.wav,Cough,5
m0595,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m0595_2_laughter.wav,/m/01j3sz,m0595_2_laughter.wav,Laughter,5
m1393,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m1393_0_throatclearing.wav,/m/0dl9sf8,m1393_0_throatclearing.wav,Throat clearing,5
m2976,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m2976_0_sniff.wav,/m/07ppn3j,m2976_0_sniff.wav,Sniff,5
m1072,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m1072_0_sigh.wav,/m/07plz5l,m1072_0_sigh.wav,Sigh,2
m1131,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m1131_0_laughter.wav,/m/01j3sz,m1131_0_laughter.wav,Laughter,1
f0276,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f0276_0_sniff.wav,/m/07ppn3j,f0276_0_sniff.wav,Sniff,4
m2160,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m2160_0_cough.wav,/m/01b_21,m2160_0_cough.wav,Cough,5
m0798,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m0798_0_sniff.wav,/m/07ppn3j,m0798_0_sniff.wav,Sniff,5
m2939,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m2939_0_throatclearing.wav,/m/0dl9sf8,m2939_0_throatclearing.wav,Throat clearing,2
m1673,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m1673_0_sniff.wav,/m/07ppn3j,m1673_0_sniff.wav,Sniff,1
f2108,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f2108_0_cough.wav,/m/01b_21,f2108_0_cough.wav,Cough,4
m2151,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m2151_0_sigh.wav,/m/07plz5l,m2151_0_sigh.wav,Sigh,2
m2751,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m2751_0_throatclearing.wav,/m/0dl9sf8,m2751_0_throatclearing.wav,Throat clearing,5
m0164,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m0164_0_cough.wav,/m/01b_21,m0164_0_cough.wav,Cough,3
m0595,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m0595_1_sneeze.wav,/m/01hsr_,m0595_1_sneeze.wav,Sneeze,4
m0557,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m0557_0_laughter.wav,/m/01j3sz,m0557_0_laughter.wav,Laughter,3
m1955,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m1955_0_sneeze.wav,/m/01hsr_,m1955_0_sneeze.wav,Sneeze,4
f2853,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f2853_0_throatclearing.wav,/m/0dl9sf8,f2853_0_throatclearing.wav,Throat clearing,3
m0873,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m0873_0_cough.wav,/m/01b_21,m0873_0_cough.wav,Cough,1
m1566,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m1566_0_sniff.wav,/m/07ppn3j,m1566_0_sniff.wav,Sniff,2
f1796,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f1796_0_sigh.wav,/m/07plz5l,f1796_0_sigh.wav,Sigh,4
m3341,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m3341_0_throatclearing.wav,/m/0dl9sf8,m3341_0_throatclearing.wav,Throat clearing,2
f1132,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f1132_0_sniff.wav,/m/07ppn3j,f1132_0_sniff.wav,Sniff,2
