note,note_str,instrument,instrument_str,pitch,velocity,sample_rate,qualities,qualities_str,instrument_family,instrument_family_str,instrument_source,instrument_source_str,WavPath,fold
283464,keyboard_synthetic_000-025-050,577,keyboard_synthetic_000,25,50,16000,"[0, 0, 1, 1, 0, 0, 1, 0, 0, 0]","['distortion', 'fast_decay', 'nonlinear_env']",4,keyboard,2,synthetic,keyboard_synthetic_000-025-050.wav,4
248559,bass_electronic_018-062-025,759,bass_electronic_018,62,25,16000,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",['fast_decay'],0,bass,1,electronic,bass_electronic_018-062-025.wav,5
151582,guitar_acoustic_021-069-025,457,guitar_acoustic_021,69,25,16000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],3,guitar,0,acoustic,guitar_acoustic_021-069-025.wav,1
236967,organ_electronic_104-049-127,921,organ_electronic_104,49,127,16000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],6,organ,1,electronic,organ_electronic_104-049-127.wav,3
25731,mallet_acoustic_056-087-100,590,mallet_acoustic_056,87,100,16000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],5,mallet,0,acoustic,mallet_acoustic_056-087-100.wav,1
129578,flute_synthetic_000-049-025,82,flute_synthetic_000,49,25,16000,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",['distortion'],2,flute,2,synthetic,flute_synthetic_000-049-025.wav,4
80655,brass_acoustic_015-063-075,121,brass_acoustic_015,63,75,16000,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",['reverb'],1,brass,0,acoustic,brass_acoustic_015-063-075.wav,2
219816,bass_synthetic_135-035-025,927,bass_synthetic_135,35,25,16000,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",['distortion'],0,bass,2,synthetic,bass_synthetic_135-035-025.wav,3
98473,string_acoustic_012-038-127,97,string_acoustic_012,38,127,16000,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]","['long_release', 'reverb']",8,string,0,acoustic,string_acoustic_012-038-127.wav,2
216844,keyboard_electronic_098-037-100,905,keyboard_electronic_098,37,100,16000,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]","['dark', 'distortion']",4,keyboard,1,electronic,keyboard_electronic_098-037-100.wav,2
157918,mallet_acoustic_047-095-050,488,mallet_acoustic_047,95,50,16000,"[0, 0, 0, 1, 0, 0, 0, 1, 1, 0]","['fast_decay', 'percussive', 'reverb']",5,mallet,0,acoustic,mallet_acoustic_047-095-050.wav,2
51677,string_acoustic_080-033-127,675,string_acoustic_080,33,127,16000,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",['reverb'],8,string,0,acoustic,string_acoustic_080-033-127.wav,3
221169,guitar_electronic_022-054-100,378,guitar_electronic_022,54,100,16000,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",['dark'],3,guitar,1,electronic,guitar_electronic_022-054-100.wav,4
229977,bass_synthetic_134-061-075,914,bass_synthetic_134,61,75,16000,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]","['dark', 'reverb']",0,bass,2,synthetic,bass_synthetic_134-061-075.wav,4
235872,keyboard_electronic_003-057-100,65,keyboard_electronic_003,57,100,16000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],4,keyboard,1,electronic,keyboard_electronic_003-057-100.wav,3
143727,reed_acoustic_037-031-127,387,reed_acoustic_037,31,127,16000,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]","['long_release', 'reverb']",7,reed,0,acoustic,reed_acoustic_037-031-127.wav,3
116547,guitar_electronic_028-101-100,510,guitar_electronic_028,101,100,16000,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",['bright'],3,guitar,1,electronic,guitar_electronic_028-101-100.wav,4
59149,keyboard_electronic_069-077-050,805,keyboard_electronic_069,77,50,16000,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",['distortion'],4,keyboard,1,electronic,keyboard_electronic_069-077-050.wav,2
35980,vocal_synthetic_003-063-025,37,vocal_synthetic_003,63,25,16000,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 0]","['bright', 'distortion', 'long_release', 'nonlinear_env']",10,vocal,2,synthetic,vocal_synthetic_003-063-025.wav,3
240131,keyboard_electronic_069-067-050,805,keyboard_electronic_069,67,50,16000,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",['distortion'],4,keyboard,1,electronic,keyboard_electronic_069-067-050.wav,2
192690,bass_synthetic_033-057-075,417,bass_synthetic_033,57,75,16000,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",['dark'],0,bass,2,synthetic,bass_synthetic_033-057-075.wav,5
133841,flute_acoustic_002-078-025,86,flute_acoustic_002,78,25,16000,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",['reverb'],2,flute,0,acoustic,flute_acoustic_002-078-025.wav,5
237655,organ_electronic_028-096-100,440,organ_electronic_028,96,100,16000,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",['bright'],6,organ,1,electronic,organ_electronic_028-096-100.wav,2
146320,organ_electronic_007-036-025,123,organ_electronic_007,36,25,16000,"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0]","['distortion', 'long_release', 'nonlinear_env']",6,organ,1,electronic,organ_electronic_007-036-025.wav,2
99452,reed_acoustic_037-060-100,387,reed_acoustic_037,60,100,16000,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]","['long_release', 'reverb']",7,reed,0,acoustic,reed_acoustic_037-060-100.wav,3
157665,guitar_acoustic_014-104-025,263,guitar_acoustic_014,104,25,16000,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]","['fast_decay', 'percussive']",3,guitar,0,acoustic,guitar_acoustic_014-104-025.wav,2
77735,bass_synthetic_033-030-050,417,bass_synthetic_033,30,50,16000,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",['dark'],0,bass,2,synthetic,bass_synthetic_033-030-050.wav,2
213054,bass_synthetic_098-036-050,803,bass_synthetic_098,36,50,16000,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",['dark'],0,bass,2,synthetic,bass_synthetic_098-036-050.wav,5
176475,guitar_acoustic_021-022-075,457,guitar_acoustic_021,22,75,16000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],3,guitar,0,acoustic,guitar_acoustic_021-022-075.wav,4
7746,vocal_synthetic_003-056-127,37,vocal_synthetic_003,56,127,16000,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 0]","['bright', 'distortion', 'long_release', 'nonlinear_env']",10,vocal,2,synthetic,vocal_synthetic_003-056-127.wav,2
257669,bass_electronic_018-029-075,759,bass_electronic_018,29,75,16000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],0,bass,1,electronic,bass_electronic_018-029-075.wav,5
253385,bass_electronic_025-036-127,872,bass_electronic_025,36,127,16000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],0,bass,1,electronic,bass_electronic_025-036-127.wav,2
75780,organ_electronic_028-077-050,440,organ_electronic_028,77,50,16000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],6,organ,1,electronic,organ_electronic_028-077-050.wav,3
251985,organ_electronic_001-058-075,8,organ_electronic_001,58,75,16000,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",['dark'],6,organ,1,electronic,organ_electronic_001-058-075.wav,4
9558,reed_acoustic_018-055-050,183,reed_acoustic_018,55,50,16000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],7,reed,0,acoustic,reed_acoustic_018-055-050.wav,1
77138,brass_acoustic_059-046-025,572,brass_acoustic_059,46,25,16000,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]","['dark', 'reverb']",1,brass,0,acoustic,brass_acoustic_059-046-025.wav,1
255829,bass_synthetic_135-106-075,927,bass_synthetic_135,106,75,16000,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0]","['bright', 'distortion']",0,bass,2,synthetic,bass_synthetic_135-106-075.wav,5
189813,organ_electronic_104-050-050,921,organ_electronic_104,50,50,16000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],6,organ,1,electronic,organ_electronic_104-050-050.wav,3
261999,keyboard_acoustic_004-076-075,327,keyboard_acoustic_004,76,75,16000,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",['reverb'],4,keyboard,0,acoustic,keyboard_acoustic_004-076-075.wav,3
230215,organ_electronic_007-042-100,123,organ_electronic_007,42,100,16000,"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0]","['distortion', 'long_release', 'nonlinear_env']",6,organ,1,electronic,organ_electronic_007-042-100.wav,2
287081,organ_electronic_113-054-127,958,organ_electronic_113,54,127,16000,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",['dark'],6,organ,1,electronic,organ_electronic_113-054-127.wav,3
94322,reed_acoustic_037-066-025,387,reed_acoustic_037,66,25,16000,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",['reverb'],7,reed,0,acoustic,reed_acoustic_037-066-025.wav,2
195490,bass_electronic_027-028-025,880,bass_electronic_027,28,25,16000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],0,bass,1,electronic,bass_electronic_027-028-025.wav,5
187011,guitar_acoustic_014-102-100,263,guitar_acoustic_014,102,100,16000,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]","['fast_decay', 'percussive']",3,guitar,0,acoustic,guitar_acoustic_014-102-100.wav,5
180380,keyboard_synthetic_000-089-075,577,keyboard_synthetic_000,89,75,16000,"[1, 0, 1, 1, 0, 0, 1, 0, 0, 0]","['bright', 'distortion', 'fast_decay', 'nonlinear_env']",4,keyboard,2,synthetic,keyboard_synthetic_000-089-075.wav,3
274508,organ_electronic_028-090-025,440,organ_electronic_028,90,25,16000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],6,organ,1,electronic,organ_electronic_028-090-025.wav,2
202934,bass_electronic_027-038-025,880,bass_electronic_027,38,25,16000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],0,bass,1,electronic,bass_electronic_027-038-025.wav,1
165521,mallet_acoustic_062-101-075,644,mallet_acoustic_062,101,75,16000,"[1, 0, 0, 1, 0, 1, 0, 0, 0, 0]","['bright', 'fast_decay', 'multiphonic']",5,mallet,0,acoustic,mallet_acoustic_062-101-075.wav,1
1282,brass_acoustic_016-089-050,128,brass_acoustic_016,89,50,16000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],1,brass,0,acoustic,brass_acoustic_016-089-050.wav,4
220431,organ_electronic_104-032-050,921,organ_electronic_104,32,50,16000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],6,organ,1,electronic,organ_electronic_104-032-050.wav,4
63888,bass_synthetic_134-095-100,914,bass_synthetic_134,95,100,16000,"[0, 0, 0, 1, 0, 0, 0, 1, 1, 0]","['fast_decay', 'percussive', 'reverb']",0,bass,2,synthetic,bass_synthetic_134-095-100.wav,1
268113,organ_electronic_007-020-100,123,organ_electronic_007,20,100,16000,"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0]","['distortion', 'long_release', 'nonlinear_env']",6,organ,1,electronic,organ_electronic_007-020-100.wav,2
57410,mallet_acoustic_062-079-075,644,mallet_acoustic_062,79,75,16000,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]","['fast_decay', 'multiphonic']",5,mallet,0,acoustic,mallet_acoustic_062-079-075.wav,4
113020,string_acoustic_071-050-050,609,string_acoustic_071,50,50,16000,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",['reverb'],8,string,0,acoustic,string_acoustic_071-050-050.wav,3
110628,string_acoustic_056-050-127,436,string_acoustic_056,50,127,16000,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]","['fast_decay', 'reverb']",8,string,0,acoustic,string_acoustic_056-050-127.wav,5
60755,keyboard_electronic_069-072-075,805,keyboard_electronic_069,72,75,16000,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",['distortion'],4,keyboard,1,electronic,keyboard_electronic_069-072-075.wav,5
270657,bass_synthetic_098-044-050,803,bass_synthetic_098,44,50,16000,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",['dark'],0,bass,2,synthetic,bass_synthetic_098-044-050.wav,1
79489,brass_acoustic_046-086-025,414,brass_acoustic_046,86,25,16000,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",['long_release'],1,brass,0,acoustic,brass_acoustic_046-086-025.wav,3
239217,guitar_electronic_022-067-127,378,guitar_electronic_022,67,127,16000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],3,guitar,1,electronic,guitar_electronic_022-067-127.wav,3
154354,bass_electronic_025-044-127,872,bass_electronic_025,44,127,16000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],0,bass,1,electronic,bass_electronic_025-044-127.wav,3
162374,guitar_acoustic_015-034-127,316,guitar_acoustic_015,34,127,16000,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]","['long_release', 'reverb']",3,guitar,0,acoustic,guitar_acoustic_015-034-127.wav,5
24277,brass_acoustic_046-096-025,414,brass_acoustic_046,96,25,16000,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",['long_release'],1,brass,0,acoustic,brass_acoustic_046-096-025.wav,1
203435,keyboard_electronic_003-074-127,65,keyboard_electronic_003,74,127,16000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],4,keyboard,1,electronic,keyboard_electronic_003-074-127.wav,4
231386,guitar_electronic_022-077-127,378,guitar_electronic_022,77,127,16000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],3,guitar,1,electronic,guitar_electronic_022-077-127.wav,4
188222,guitar_acoustic_010-039-075,219,guitar_acoustic_010,39,75,16000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],3,guitar,0,acoustic,guitar_acoustic_010-039-075.wav,1
182729,guitar_electronic_022-042-025,378,guitar_electronic_022,42,25,16000,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",['dark'],3,guitar,1,electronic,guitar_electronic_022-042-025.wav,4
241730,organ_electronic_028-062-075,440,organ_electronic_028,62,75,16000,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",['dark'],6,organ,1,electronic,organ_electronic_028-062-075.wav,1
13222,reed_acoustic_023-092-100,224,reed_acoustic_023,92,100,16000,"[0, 0, 0, 1, 0, 1, 1, 0, 0, 0]","['fast_decay', 'multiphonic', 'nonlinear_env']",7,reed,0,acoustic,reed_acoustic_023-092-100.wav,2
223011,bass_synthetic_098-023-075,803,bass_synthetic_098,23,75,16000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],0,bass,2,synthetic,bass_synthetic_098-023-075.wav,1
194062,bass_synthetic_098-033-075,803,bass_synthetic_098,33,75,16000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],0,bass,2,synthetic,bass_synthetic_098-033-075.wav,4
131854,reed_acoustic_023-073-050,224,reed_acoustic_023,73,50,16000,"[1, 0, 0, 1, 0, 1, 1, 0, 0, 0]","['bright', 'fast_decay', 'multiphonic', 'nonlinear_env']",7,reed,0,acoustic,reed_acoustic_023-073-050.wav,5
112833,string_acoustic_080-041-127,675,string_acoustic_080,41,127,16000,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]","['long_release', 'reverb']",8,string,0,acoustic,string_acoustic_080-041-127.wav,5
5073,brass_acoustic_006-049-025,43,brass_acoustic_006,49,25,16000,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",['reverb'],1,brass,0,acoustic,brass_acoustic_006-049-025.wav,5
19875,vocal_synthetic_003-065-100,37,vocal_synthetic_003,65,100,16000,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 0]","['bright', 'distortion', 'long_release', 'nonlinear_env']",10,vocal,2,synthetic,vocal_synthetic_003-065-100.wav,4
154390,guitar_acoustic_015-094-050,316,guitar_acoustic_015,94,50,16000,"[0, 0, 0, 1, 0, 0, 0, 1, 1, 0]","['fast_decay', 'percussive', 'reverb']",3,guitar,0,acoustic,guitar_acoustic_015-094-050.wav,3
97148,guitar_electronic_022-026-100,378,guitar_electronic_022,26,100,16000,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",['dark'],3,guitar,1,electronic,guitar_electronic_022-026-100.wav,5
26938,vocal_synthetic_003-094-050,37,vocal_synthetic_003,94,50,16000,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 0]","['bright', 'distortion', 'long_release', 'nonlinear_env']",10,vocal,2,synthetic,vocal_synthetic_003-094-050.wav,5
135519,keyboard_acoustic_004-073-050,327,keyboard_acoustic_004,73,50,16000,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]","['dark', 'reverb']",4,keyboard,0,acoustic,keyboard_acoustic_004-073-050.wav,2
123462,string_acoustic_056-075-025,436,string_acoustic_056,75,25,16000,"[0, 0, 0, 1, 0, 0, 0, 1, 1, 0]","['fast_decay', 'percussive', 'reverb']",8,string,0,acoustic,string_acoustic_056-075-025.wav,5
225568,organ_electronic_104-055-075,921,organ_electronic_104,55,75,16000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],6,organ,1,electronic,organ_electronic_104-055-075.wav,4
250893,bass_synthetic_135-103-050,927,bass_synthetic_135,103,50,16000,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0]","['bright', 'distortion']",0,bass,2,synthetic,bass_synthetic_135-103-050.wav,4
79680,string_acoustic_080-051-127,675,string_acoustic_080,51,127,16000,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",['reverb'],8,string,0,acoustic,string_acoustic_080-051-127.wav,1
107826,keyboard_electronic_098-045-100,905,keyboard_electronic_098,45,100,16000,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]","['dark', 'distortion']",4,keyboard,1,electronic,keyboard_electronic_098-045-100.wav,5
44717,brass_acoustic_046-064-075,414,brass_acoustic_046,64,75,16000,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",['bright'],1,brass,0,acoustic,brass_acoustic_046-064-075.wav,4
275292,keyboard_acoustic_004-082-100,327,keyboard_acoustic_004,82,100,16000,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",['reverb'],4,keyboard,0,acoustic,keyboard_acoustic_004-082-100.wav,4
67948,brass_acoustic_006-065-050,43,brass_acoustic_006,65,50,16000,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",['reverb'],1,brass,0,acoustic,brass_acoustic_006-065-050.wav,4
180841,guitar_acoustic_010-080-075,219,guitar_acoustic_010,80,75,16000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],3,guitar,0,acoustic,guitar_acoustic_010-080-075.wav,5
153769,keyboard_electronic_098-088-025,905,keyboard_electronic_098,88,25,16000,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",['fast_decay'],4,keyboard,1,electronic,keyboard_electronic_098-088-025.wav,2
290532,organ_electronic_001-071-025,8,organ_electronic_001,71,25,16000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],6,organ,1,electronic,organ_electronic_001-071-025.wav,3
275603,bass_synthetic_135-047-025,927,bass_synthetic_135,47,25,16000,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",['distortion'],0,bass,2,synthetic,bass_synthetic_135-047-025.wav,5
49970,reed_acoustic_011-055-127,104,reed_acoustic_011,55,127,16000,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",['bright'],7,reed,0,acoustic,reed_acoustic_011-055-127.wav,3
78522,guitar_acoustic_010-090-075,219,guitar_acoustic_010,90,75,16000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],3,guitar,0,acoustic,guitar_acoustic_010-090-075.wav,1
62565,bass_synthetic_135-023-100,927,bass_synthetic_135,23,100,16000,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",['distortion'],0,bass,2,synthetic,bass_synthetic_135-023-100.wav,1
101051,keyboard_electronic_001-094-127,40,keyboard_electronic_001,94,127,16000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],4,keyboard,1,electronic,keyboard_electronic_001-094-127.wav,5
157550,keyboard_synthetic_000-047-050,577,keyboard_synthetic_000,47,50,16000,"[0, 0, 1, 1, 0, 0, 1, 0, 0, 0]","['distortion', 'fast_decay', 'nonlinear_env']",4,keyboard,2,synthetic,keyboard_synthetic_000-047-050.wav,4
238570,keyboard_electronic_002-083-100,50,keyboard_electronic_002,83,100,16000,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0]","['distortion', 'fast_decay']",4,keyboard,1,electronic,keyboard_electronic_002-083-100.wav,5
120783,bass_synthetic_068-034-075,656,bass_synthetic_068,34,75,16000,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",['dark'],0,bass,2,synthetic,bass_synthetic_068-034-075.wav,3
269546,bass_electronic_018-035-127,759,bass_electronic_018,35,127,16000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],0,bass,1,electronic,bass_electronic_018-035-127.wav,4
268843,organ_electronic_007-089-100,123,organ_electronic_007,89,100,16000,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]","['long_release', 'nonlinear_env']",6,organ,1,electronic,organ_electronic_007-089-100.wav,4
120263,keyboard_electronic_002-072-050,50,keyboard_electronic_002,72,50,16000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],4,keyboard,1,electronic,keyboard_electronic_002-072-050.wav,2
95767,organ_electronic_007-068-050,123,organ_electronic_007,68,50,16000,"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0]","['distortion', 'long_release', 'nonlinear_env']",6,organ,1,electronic,organ_electronic_007-068-050.wav,5
305432,organ_electronic_001-093-075,8,organ_electronic_001,93,75,16000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],6,organ,1,electronic,organ_electronic_001-093-075.wav,3
1255,keyboard_electronic_002-062-050,50,keyboard_electronic_002,62,50,16000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],4,keyboard,1,electronic,keyboard_electronic_002-062-050.wav,3
202387,bass_synthetic_134-058-025,914,bass_synthetic_134,58,25,16000,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]","['dark', 'reverb']",0,bass,2,synthetic,bass_synthetic_134-058-025.wav,5
135559,flute_acoustic_002-086-127,86,flute_acoustic_002,86,127,16000,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",['reverb'],2,flute,0,acoustic,flute_acoustic_002-086-127.wav,4
45051,brass_acoustic_015-066-050,121,brass_acoustic_015,66,50,16000,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",['reverb'],1,brass,0,acoustic,brass_acoustic_015-066-050.wav,1
222742,bass_synthetic_009-035-025,150,bass_synthetic_009,35,25,16000,"[1, 0, 1, 0, 1, 0, 0, 0, 0, 0]","['bright', 'distortion', 'long_release']",0,bass,2,synthetic,bass_synthetic_009-035-025.wav,1
148068,guitar_electronic_028-024-075,510,guitar_electronic_028,24,75,16000,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",['dark'],3,guitar,1,electronic,guitar_electronic_028-024-075.wav,1
278812,bass_synthetic_135-086-127,927,bass_synthetic_135,86,127,16000,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",['distortion'],0,bass,2,synthetic,bass_synthetic_135-086-127.wav,4
89366,string_acoustic_012-046-100,97,string_acoustic_012,46,100,16000,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",['reverb'],8,string,0,acoustic,string_acoustic_012-046-100.wav,4
98419,flute_acoustic_002-072-127,86,flute_acoustic_002,72,127,16000,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]","['long_release', 'reverb']",2,flute,0,acoustic,flute_acoustic_002-072-127.wav,4
